"clip.id"	"folder.file.id"	"start.time"	"url"
"ACP000g9bu"	"TaiEast_11_loc60_20140804_EK000023"	30	"http://www.chimpandsee.org/subjects/570d0bc93fc33c0001bf24af/570d0bc93fc33c0001bf24af.mp4"
"ACP000g9bv"	"TaiEast_11_loc60_20140804_EK000023"	45	"http://www.chimpandsee.org/subjects/570d0bc93fc33c0001bf24b0/570d0bc93fc33c0001bf24b0.mp4"
"ACP000g9f8"	"TaiEast_11_loc60_20140804_EK000024"	0	"http://www.chimpandsee.org/subjects/570d0bd03fc33c0001bf2529/570d0bd03fc33c0001bf2529.mp4"
"ACP000g9f9"	"TaiEast_11_loc60_20140804_EK000024"	15	"http://www.chimpandsee.org/subjects/570d0bd03fc33c0001bf252a/570d0bd03fc33c0001bf252a.mp4"
"ACP000g9fb"	"TaiEast_11_loc60_20140804_EK000024"	30	"http://www.chimpandsee.org/subjects/570d0bd03fc33c0001bf252c/570d0bd03fc33c0001bf252c.mp4"
"ACP000g9ox"	"TaiEast_11_loc60_20140804_EK000025"	15	"http://www.chimpandsee.org/subjects/570d0be43fc33c0001bf2686/570d0be43fc33c0001bf2686.mp4"
"ACP000g9oy"	"TaiEast_11_loc60_20140804_EK000025"	30	"http://www.chimpandsee.org/subjects/570d0be43fc33c0001bf2687/570d0be43fc33c0001bf2687.mp4"
"ACP000g9cn"	"TaiEast_11_loc60_20140804_EK000027"	0	"http://www.chimpandsee.org/subjects/570d0bcb3fc33c0001bf24cc/570d0bcb3fc33c0001bf24cc.mp4"
"ACP000g9rk"	"TaiEast_11_loc60_20140804_EK000028"	0	"http://www.chimpandsee.org/subjects/570d0bea3fc33c0001bf26e5/570d0bea3fc33c0001bf26e5.mp4"
"ACP000g9rl"	"TaiEast_11_loc60_20140804_EK000028"	15	"http://www.chimpandsee.org/subjects/570d0bea3fc33c0001bf26e6/570d0bea3fc33c0001bf26e6.mp4"
"ACP000g9rm"	"TaiEast_11_loc60_20140804_EK000028"	30	"http://www.chimpandsee.org/subjects/570d0bea3fc33c0001bf26e7/570d0bea3fc33c0001bf26e7.mp4"
"ACP000g9rn"	"TaiEast_11_loc60_20140804_EK000028"	45	"http://www.chimpandsee.org/subjects/570d0bea3fc33c0001bf26e8/570d0bea3fc33c0001bf26e8.mp4"
"ACP000g9jz"	"TaiEast_11_loc60_20140804_EK000029"	0	"http://www.chimpandsee.org/subjects/570d0bda3fc33c0001bf25d4/570d0bda3fc33c0001bf25d4.mp4"
"ACP000g9k2"	"TaiEast_11_loc60_20140804_EK000029"	15	"http://www.chimpandsee.org/subjects/570d0bda3fc33c0001bf25d7/570d0bda3fc33c0001bf25d7.mp4"
"ACP000g9k4"	"TaiEast_11_loc60_20140804_EK000029"	30	"http://www.chimpandsee.org/subjects/570d0bda3fc33c0001bf25d9/570d0bda3fc33c0001bf25d9.mp4"
"ACP000g9k6"	"TaiEast_11_loc60_20140804_EK000029"	45	"http://www.chimpandsee.org/subjects/570d0bda3fc33c0001bf25db/570d0bda3fc33c0001bf25db.mp4"
"ACP000g9d3"	"TaiEast_11_loc60_20140804_EK000034"	15	"http://www.chimpandsee.org/subjects/570d0bcc3fc33c0001bf24dc/570d0bcc3fc33c0001bf24dc.mp4"
"ACP000g9ck"	"TaiEast_11_loc60_20140804_EK000036"	0	"http://www.chimpandsee.org/subjects/570d0bcb3fc33c0001bf24c9/570d0bcb3fc33c0001bf24c9.mp4"
"ACP000g9kx"	"TaiEast_11_loc60_20140804_EK000038"	0	"http://www.chimpandsee.org/subjects/570d0bdc3fc33c0001bf25f6/570d0bdc3fc33c0001bf25f6.mp4"
